Time (Sec);S1;S11;S2;
0.0;19159.9999;19160.0;19160.0;
0.9999999999999999;19159.992222399997;19159.9963392;19159.988761599998;
0.9999999999999999;19159.984644799995;19159.9963392;19159.988761599998;
1.0107626666666665;19159.984644799995;19159.9963392;19159.985100799997;
1.0107626666666665;19159.984644799995;19159.9963392;19159.977523199996;
1.0215253333333332;19159.984644799995;19159.992678399998;19159.977523199996;
1.9999999999999998;19159.984544799994;19159.992678399998;19159.977523199996;
1.9999999999999998;19159.969863199993;19159.992678399998;19159.977523199996;
2.0271026666666665;19159.969863199993;19159.992678399998;19159.970430399997;
2.0271026666666665;19159.969863199993;19159.992678399998;19159.955748799995;
2.054205333333333;19159.969863199993;19159.9855856;19159.955748799995;
2.9999999999999996;19159.96976319999;19159.9855856;19159.955748799995;
2.9999999999999996;19159.95508159999;19159.9855856;19159.955748799995;
3.027102666666666;19159.95508159999;19159.9855856;19159.948655999997;
3.027102666666666;19159.95508159999;19159.9855856;19159.933974399995;
3.0542053333333326;19159.95508159999;19159.9784928;19159.933974399995;
3.999999999999999;19159.95498159999;19159.9784928;19159.933974399995;
3.999999999999999;19159.94077359999;19159.9784928;19159.933974399995;
4.026013333333332;19159.94077359999;19159.9784928;19159.927110399996;
4.026013333333332;19159.94077359999;19159.9784928;19159.912902399996;
4.0520266666666656;19159.94077359999;19159.9716288;19159.912902399996;
4.999999999999999;19159.940673599987;19159.9716288;19159.912902399996;
4.999999999999999;19159.926465599987;19159.9716288;19159.912902399996;
5.026013333333332;19159.926465599987;19159.9716288;19159.906038399997;
5.026013333333332;19159.926465599987;19159.9716288;19159.891830399996;
5.0520266666666656;19159.926465599987;19159.964764800003;19159.891830399996;
5.999999999999999;19159.926365599986;19159.964764800003;19159.891830399996;
5.999999999999999;19159.912631199986;19159.964764800003;19159.891830399996;
6.0249239999999995;19159.912631199986;19159.964764800003;19159.885195199997;
6.0249239999999995;19159.912631199986;19159.964764800003;19159.871460799997;
6.049848;19159.912631199986;19159.958129600003;19159.871460799997;
7.0;19159.912531199985;19159.958129600003;19159.871460799997;
7.0;19159.897849599984;19159.958129600003;19159.871460799997;
7.027102666666667;19159.897849599984;19159.958129600003;19159.864368;
7.027102666666667;19159.897849599984;19159.958129600003;19159.849686399997;
7.054205333333334;19159.897849599984;19159.951036800005;19159.849686399997;
8.0;19159.897749599982;19159.951036800005;19159.849686399997;
8.0;19159.88306799998;19159.951036800005;19159.849686399997;
8.027102666666666;19159.88306799998;19159.951036800005;19159.8425936;
8.027102666666666;19159.88306799998;19159.951036800005;19159.827911999997;
8.054205333333332;19159.88306799998;19159.943944000006;19159.827911999997;
8.999999999999998;19159.88296799998;19159.943944000006;19159.827911999997;
8.999999999999998;19159.86828639998;19159.943944000006;19159.827911999997;
9.027102666666664;19159.86828639998;19159.943944000006;19159.8208192;
9.027102666666664;19159.86828639998;19159.943944000006;19159.806137599997;
9.05420533333333;19159.86828639998;19159.936851200007;19159.806137599997;
9.999999999999996;19159.868186399977;19159.936851200007;19159.806137599997;
9.999999999999996;19159.853504799976;19159.936851200007;19159.806137599997;
10.027102666666663;19159.853504799976;19159.936851200007;19159.7990448;
10.027102666666663;19159.853504799976;19159.936851200007;19159.784363199997;
10.054205333333329;19159.853504799976;19159.92975840001;19159.784363199997;
10.999999999999995;19159.853404799975;19159.92975840001;19159.784363199997;
10.999999999999995;19159.839196799974;19159.92975840001;19159.784363199997;
11.026013333333328;19159.839196799974;19159.92975840001;19159.777499199998;
11.026013333333328;19159.839196799974;19159.92975840001;19159.763291199997;
11.052026666666661;19159.839196799974;19159.92289440001;19159.763291199997;
11.999999999999995;19159.839096799973;19159.92289440001;19159.763291199997;
11.999999999999995;19159.824888799973;19159.92289440001;19159.763291199997;
12.026013333333328;19159.824888799973;19159.92289440001;19159.756427199998;
12.026013333333328;19159.824888799973;19159.92289440001;19159.742219199998;
12.052026666666661;19159.824888799973;19159.91603040001;19159.742219199998;
12.999999999999995;19159.82478879997;19159.91603040001;19159.742219199998;
12.999999999999995;19159.81058079997;19159.91603040001;19159.742219199998;
13.026013333333328;19159.81058079997;19159.91603040001;19159.7353552;
13.026013333333328;19159.81058079997;19159.91603040001;19159.721147199998;
13.052026666666661;19159.81058079997;19159.90916640001;19159.721147199998;
13.999999999999995;19159.81048079997;19159.90916640001;19159.721147199998;
13.999999999999995;19159.79579919997;19159.90916640001;19159.721147199998;
14.02710266666666;19159.79579919997;19159.90916640001;19159.7140544;
14.02710266666666;19159.79579919997;19159.90916640001;19159.699372799998;
14.054205333333327;19159.79579919997;19159.902073600013;19159.699372799998;
14.999999999999993;19159.795699199967;19159.902073600013;19159.699372799998;
14.999999999999993;19159.781491199967;19159.902073600013;19159.699372799998;
15.026013333333326;19159.781491199967;19159.902073600013;19159.6925088;
15.026013333333326;19159.781491199967;19159.902073600013;19159.6783008;
15.05202666666666;19159.781491199967;19159.895209600014;19159.6783008;
15.999999999999993;19159.781391199966;19159.895209600014;19159.6783008;
15.999999999999993;19159.766709599964;19159.895209600014;19159.6783008;
16.02710266666666;19159.766709599964;19159.895209600014;19159.671208;
16.02710266666666;19159.766709599964;19159.895209600014;19159.6565264;
16.05420533333333;19159.766709599964;19159.888116800015;19159.6565264;
16.999999999999996;19159.766609599963;19159.888116800015;19159.6565264;
16.999999999999996;19159.752401599962;19159.888116800015;19159.6565264;
17.02601333333333;19159.752401599962;19159.888116800015;19159.6496624;
17.02601333333333;19159.752401599962;19159.888116800015;19159.6354544;
17.052026666666666;19159.752401599962;19159.881252800016;19159.6354544;
18.0;19159.75230159996;19159.881252800016;19159.6354544;
18.0;19159.73809359996;19159.881252800016;19159.6354544;
18.026013333333335;19159.73809359996;19159.881252800016;19159.6285904;
18.026013333333335;19159.73809359996;19159.881252800016;19159.6143824;
18.05202666666667;19159.73809359996;19159.874388800017;19159.6143824;
19.000000000000004;19159.73799359996;19159.874388800017;19159.6143824;
19.000000000000004;19159.72331199996;19159.874388800017;19159.6143824;
19.02710266666667;19159.72331199996;19159.874388800017;19159.6072896;
19.02710266666667;19159.72331199996;19159.874388800017;19159.592608;
19.05420533333334;19159.72331199996;19159.86729600002;19159.592608;
20.000000000000007;19159.723211999957;19159.86729600002;19159.592608;
20.000000000000007;19159.709003999957;19159.86729600002;19159.592608;
20.026013333333342;19159.709003999957;19159.86729600002;19159.585744;
20.026013333333342;19159.709003999957;19159.86729600002;19159.571536;
20.052026666666677;19159.709003999957;19159.86043200002;19159.571536;
21.00000000000001;19159.708903999956;19159.86043200002;19159.571536;
21.00000000000001;19159.694222399954;19159.86043200002;19159.571536;
21.02710266666668;19159.694222399954;19159.86043200002;19159.5644432;
21.02710266666668;19159.694222399954;19159.86043200002;19159.5497616;
21.054205333333346;19159.694222399954;19159.85333920002;19159.5497616;
22.000000000000014;19159.694122399953;19159.85333920002;19159.5497616;
22.000000000000014;19159.67944079995;19159.85333920002;19159.5497616;
22.027102666666682;19159.67944079995;19159.85333920002;19159.5426688;
22.027102666666682;19159.67944079995;19159.85333920002;19159.5279872;
22.05420533333335;19159.67944079995;19159.846246400022;19159.5279872;
23.000000000000018;19159.67934079995;19159.846246400022;19159.5279872;
23.000000000000018;19159.66465919995;19159.846246400022;19159.5279872;
23.027102666666686;19159.66465919995;19159.846246400022;19159.5208944;
23.027102666666686;19159.66465919995;19159.846246400022;19159.5062128;
23.054205333333353;19159.66465919995;19159.839153600024;19159.5062128;
24.00000000000002;19159.664559199948;19159.839153600024;19159.5062128;
24.00000000000002;19159.650351199947;19159.839153600024;19159.5062128;
24.026013333333356;19159.650351199947;19159.839153600024;19159.4993488;
24.026013333333356;19159.650351199947;19159.839153600024;19159.4851408;
24.05202666666669;19159.650351199947;19159.832289600025;19159.4851408;
25.000000000000025;19159.650251199946;19159.832289600025;19159.4851408;
25.000000000000025;19159.636043199946;19159.832289600025;19159.4851408;
25.02601333333336;19159.636043199946;19159.832289600025;19159.4782768;
25.02601333333336;19159.636043199946;19159.832289600025;19159.4640688;
25.052026666666695;19159.636043199946;19159.825425600025;19159.4640688;
26.00000000000003;19159.635943199944;19159.825425600025;19159.4640688;
26.00000000000003;19159.621261599943;19159.825425600025;19159.4640688;
26.027102666666696;19159.621261599943;19159.825425600025;19159.456976;
26.027102666666696;19159.621261599943;19159.825425600025;19159.4422944;
26.054205333333364;19159.621261599943;19159.818332800027;19159.4422944;
27.000000000000032;19159.621161599942;19159.818332800027;19159.4422944;
27.000000000000032;19159.60647999994;19159.818332800027;19159.4422944;
27.0271026666667;19159.60647999994;19159.818332800027;19159.4352016;
27.0271026666667;19159.60647999994;19159.818332800027;19159.42052;
27.054205333333368;19159.60647999994;19159.81124000003;19159.42052;
28.000000000000036;19159.60637999994;19159.81124000003;19159.42052;
28.000000000000036;19159.591698399938;19159.81124000003;19159.42052;
28.027102666666703;19159.591698399938;19159.81124000003;19159.4134272;
28.027102666666703;19159.591698399938;19159.81124000003;19159.3987456;
28.05420533333337;19159.591698399938;19159.80414720003;19159.3987456;
29.00000000000004;19159.591598399937;19159.80414720003;19159.3987456;
29.00000000000004;19159.577390399936;19159.80414720003;19159.3987456;
29.026013333333374;19159.577390399936;19159.80414720003;19159.3918816;
29.026013333333374;19159.577390399936;19159.80414720003;19159.3776736;
29.05202666666671;19159.577390399936;19159.79728320003;19159.3776736;
30.000000000000043;19159.577290399935;19159.79728320003;19159.3776736;
30.000000000000043;19159.562608799934;19159.79728320003;19159.3776736;
30.02710266666671;19159.562608799934;19159.79728320003;19159.3705808;
30.02710266666671;19159.562608799934;19159.79728320003;19159.3558992;
30.05420533333338;19159.562608799934;19159.790190400032;19159.3558992;
31.000000000000046;19159.562508799932;19159.790190400032;19159.3558992;
31.000000000000046;19159.54782719993;19159.790190400032;19159.3558992;
31.027102666666714;19159.54782719993;19159.790190400032;19159.3488064;
31.027102666666714;19159.54782719993;19159.790190400032;19159.3341248;
31.054205333333382;19159.54782719993;19159.783097600033;19159.3341248;
32.00000000000005;19159.54772719993;19159.783097600033;19159.3341248;
32.00000000000005;19159.53304559993;19159.783097600033;19159.3341248;
32.027102666666714;19159.53304559993;19159.783097600033;19159.327032;
32.027102666666714;19159.53304559993;19159.783097600033;19159.3123504;
32.05420533333338;19159.53304559993;19159.776004800035;19159.3123504;
33.00000000000004;19159.532945599927;19159.776004800035;19159.3123504;
33.00000000000004;19159.518737599927;19159.776004800035;19159.3123504;
33.026013333333374;19159.518737599927;19159.776004800035;19159.3054864;
33.026013333333374;19159.518737599927;19159.776004800035;19159.2912784;
33.052026666666706;19159.518737599927;19159.769140800036;19159.2912784;
34.000000000000036;19159.518637599926;19159.769140800036;19159.2912784;
34.000000000000036;19159.504429599925;19159.769140800036;19159.2912784;
34.02601333333337;19159.504429599925;19159.769140800036;19159.2844144;
34.02601333333337;19159.504429599925;19159.769140800036;19159.2702064;
34.0520266666667;19159.504429599925;19159.762276800036;19159.2702064;
35.00000000000003;19159.504329599924;19159.762276800036;19159.2702064;
35.00000000000003;19159.489647999922;19159.762276800036;19159.2702064;
35.02710266666669;19159.489647999922;19159.762276800036;19159.2631136;
35.02710266666669;19159.489647999922;19159.762276800036;19159.248432;
35.05420533333336;19159.489647999922;19159.755184000038;19159.248432;
36.00000000000002;19159.48954799992;19159.755184000038;19159.248432;
36.00000000000002;19159.475813599922;19159.755184000038;19159.248432;
36.02492400000002;19159.475813599922;19159.755184000038;19159.2417968;
36.02492400000002;19159.475813599922;19159.755184000038;19159.2280624;
36.04984800000002;19159.475813599922;19159.74854880004;19159.2280624;
37.00000000000002;19159.47571359992;19159.74854880004;19159.2280624;
37.00000000000002;19159.46103199992;19159.74854880004;19159.2280624;
37.027102666666686;19159.46103199992;19159.74854880004;19159.220969600003;
37.027102666666686;19159.46103199992;19159.74854880004;19159.206288;
37.05420533333335;19159.46103199992;19159.74145600004;19159.206288;
38.000000000000014;19159.460931999918;19159.74145600004;19159.206288;
38.000000000000014;19159.446250399917;19159.74145600004;19159.206288;
38.02710266666668;19159.446250399917;19159.74145600004;19159.199195200003;
38.02710266666668;19159.446250399917;19159.74145600004;19159.1845136;
38.05420533333334;19159.446250399917;19159.73436320004;19159.1845136;
39.00000000000001;19159.446150399915;19159.73436320004;19159.1845136;
39.00000000000001;19159.431468799914;19159.73436320004;19159.1845136;
39.02710266666667;19159.431468799914;19159.73436320004;19159.177420800002;
39.02710266666667;19159.431468799914;19159.73436320004;19159.1627392;
39.054205333333336;19159.431468799914;19159.727270400042;19159.1627392;
40.0;19159.431368799913;19159.727270400042;19159.1627392;
40.0;19159.417160799912;19159.727270400042;19159.1627392;
40.02601333333333;19159.417160799912;19159.727270400042;19159.155875200002;
40.02601333333333;19159.417160799912;19159.727270400042;19159.1416672;
40.05202666666666;19159.417160799912;19159.720406400043;19159.1416672;
